anomaly_id,timestamp,line_id,machine_id,symptom,root_cause,solution_applied,resolution_time_minutes,impact_oee,recurrence_count,priority,status
1,2023-12-31 22:20:01.240844,L2,M2-3,Vibrations anormales détectées,Roulements usés sur l'axe principal,Remplacement des roulements et équilibrage,458,-10,1,Low,Resolved
2,2024-01-07 22:20:01.240844,L3,M3-2,Qualité d'impression dégradée,Viscosité d'encre non conforme,Ajustement de la viscosité et nettoyage des buses,295,-6,4,Low,Resolved
3,2024-01-14 22:20:01.240844,L2,M2-2,Vibrations anormales détectées,Roulements usés sur l'axe principal,Remplacement des roulements et équilibrage,157,-10,1,High,Resolved
4,2024-01-21 22:20:01.240844,L3,M3-2,Arrêts micro-répétitifs toutes les 10 minutes,Capteur de position défectueux,Remplacement du capteur et recalibration,224,-8,3,Critical,Resolved
5,2024-01-28 22:20:01.240844,L3,M3-1,Arrêts micro-répétitifs toutes les 10 minutes,Capteur de position défectueux,Remplacement du capteur et recalibration,191,-8,3,High,Resolved
6,2024-02-04 22:20:01.240844,L2,M2-3,Arrêts micro-répétitifs toutes les 10 minutes,Capteur de position défectueux,Remplacement du capteur et recalibration,418,-8,4,Critical,Resolved
7,2024-02-11 22:20:01.240844,L2,M2-3,Bourrage fréquent au niveau de l'alimentation,Tension d'alimentation incorrecte,Ajustement de la tension et nettoyage des rouleaux,414,-12,2,Critical,Resolved
8,2024-02-18 22:20:01.240844,L2,M2-3,Vibrations anormales détectées,Roulements usés sur l'axe principal,Remplacement des roulements et équilibrage,333,-10,2,High,Resolved
9,2024-02-25 22:20:01.240844,L3,M3-2,Qualité d'impression dégradée,Viscosité d'encre non conforme,Ajustement de la viscosité et nettoyage des buses,325,-6,1,Critical,Resolved
10,2024-03-03 22:20:01.240844,L3,M3-1,Augmentation du taux de rebut à 7%,Dérive de la température de séchage,Recalibration du système de contrôle thermique,163,-5,1,Critical,Resolved
11,2024-03-10 22:20:01.240844,L1,M1-1,Bourrage fréquent au niveau de l'alimentation,Tension d'alimentation incorrecte,Ajustement de la tension et nettoyage des rouleaux,384,-12,3,Critical,Resolved
12,2024-03-17 22:20:01.240844,L2,M2-3,Bourrage fréquent au niveau de l'alimentation,Tension d'alimentation incorrecte,Ajustement de la tension et nettoyage des rouleaux,174,-12,1,High,Resolved
13,2024-03-24 22:20:01.240844,L1,M1-1,Bourrage fréquent au niveau de l'alimentation,Tension d'alimentation incorrecte,Ajustement de la tension et nettoyage des rouleaux,224,-12,4,Medium,Resolved
14,2024-03-31 22:20:01.240844,L1,M1-2,Vibrations anormales détectées,Roulements usés sur l'axe principal,Remplacement des roulements et équilibrage,130,-10,4,Critical,Resolved
15,2024-04-07 22:20:01.240844,L2,M2-3,Bourrage fréquent au niveau de l'alimentation,Tension d'alimentation incorrecte,Ajustement de la tension et nettoyage des rouleaux,446,-12,1,Medium,Resolved
16,2024-04-14 22:20:01.240844,L2,M2-2,Arrêts micro-répétitifs toutes les 10 minutes,Capteur de position défectueux,Remplacement du capteur et recalibration,317,-8,3,Low,Resolved
17,2024-04-21 22:20:01.240844,L1,M1-2,Vibrations anormales détectées,Roulements usés sur l'axe principal,Remplacement des roulements et équilibrage,154,-10,3,High,Resolved
18,2024-04-28 22:20:01.240844,L2,M2-1,Baisse soudaine de performance de 15%,Usure des courroies de transmission,Remplacement des courroies et réalignement,443,-15,2,Low,Resolved
19,2024-05-05 22:20:01.240844,L1,M1-2,Bourrage fréquent au niveau de l'alimentation,Tension d'alimentation incorrecte,Ajustement de la tension et nettoyage des rouleaux,177,-12,4,Low,Resolved
20,2024-05-12 22:20:01.240844,L3,M3-2,Arrêts micro-répétitifs toutes les 10 minutes,Capteur de position défectueux,Remplacement du capteur et recalibration,171,-8,2,Critical,Resolved
21,2024-05-19 22:20:01.240844,L3,M3-1,Vibrations anormales détectées,Roulements usés sur l'axe principal,Remplacement des roulements et équilibrage,285,-10,4,Critical,Resolved
22,2024-05-26 22:20:01.240844,L2,M2-1,Bourrage fréquent au niveau de l'alimentation,Tension d'alimentation incorrecte,Ajustement de la tension et nettoyage des rouleaux,97,-12,3,Critical,Resolved
23,2024-06-02 22:20:01.240844,L3,M3-1,Augmentation du taux de rebut à 7%,Dérive de la température de séchage,Recalibration du système de contrôle thermique,357,-5,3,Medium,Resolved
24,2024-06-09 22:20:01.240844,L1,M1-1,Bourrage fréquent au niveau de l'alimentation,Tension d'alimentation incorrecte,Ajustement de la tension et nettoyage des rouleaux,397,-12,3,Medium,Resolved
25,2024-06-16 22:20:01.240844,L3,M3-1,Vibrations anormales détectées,Roulements usés sur l'axe principal,Remplacement des roulements et équilibrage,269,-10,3,High,Resolved
26,2024-06-23 22:20:01.240844,L2,M2-4,Baisse soudaine de performance de 15%,Usure des courroies de transmission,Remplacement des courroies et réalignement,390,-15,3,Low,Resolved
27,2024-06-30 22:20:01.240844,L1,M1-2,Qualité d'impression dégradée,Viscosité d'encre non conforme,Ajustement de la viscosité et nettoyage des buses,139,-6,3,Low,Resolved
28,2024-07-07 22:20:01.240844,L1,M1-1,Arrêts micro-répétitifs toutes les 10 minutes,Capteur de position défectueux,Remplacement du capteur et recalibration,446,-8,1,Medium,Resolved
29,2024-07-14 22:20:01.240844,L3,M3-1,Baisse soudaine de performance de 15%,Usure des courroies de transmission,Remplacement des courroies et réalignement,438,-15,3,High,Resolved
30,2024-07-21 22:20:01.240844,L1,M1-1,Arrêts micro-répétitifs toutes les 10 minutes,Capteur de position défectueux,Remplacement du capteur et recalibration,200,-8,3,Critical,Resolved
31,2024-07-28 22:20:01.240844,L2,M2-4,Arrêts micro-répétitifs toutes les 10 minutes,Capteur de position défectueux,Remplacement du capteur et recalibration,185,-8,1,Medium,Resolved
32,2024-08-04 22:20:01.240844,L3,M3-1,Bourrage fréquent au niveau de l'alimentation,Tension d'alimentation incorrecte,Ajustement de la tension et nettoyage des rouleaux,461,-12,3,High,Resolved
33,2024-08-11 22:20:01.240844,L2,M2-2,Bourrage fréquent au niveau de l'alimentation,Tension d'alimentation incorrecte,Ajustement de la tension et nettoyage des rouleaux,396,-12,1,Critical,Resolved
34,2024-08-18 22:20:01.240844,L1,M1-3,Arrêts micro-répétitifs toutes les 10 minutes,Capteur de position défectueux,Remplacement du capteur et recalibration,336,-8,4,Medium,Resolved
35,2024-08-25 22:20:01.240844,L2,M2-1,Baisse soudaine de performance de 15%,Usure des courroies de transmission,Remplacement des courroies et réalignement,201,-15,2,Medium,Resolved
36,2024-09-01 22:20:01.240844,L3,M3-1,Arrêts micro-répétitifs toutes les 10 minutes,Capteur de position défectueux,Remplacement du capteur et recalibration,203,-8,3,Medium,Resolved
37,2024-09-08 22:20:01.240844,L1,M1-1,Arrêts micro-répétitifs toutes les 10 minutes,Capteur de position défectueux,Remplacement du capteur et recalibration,154,-8,1,High,Resolved
38,2024-09-15 22:20:01.240844,L3,M3-2,Vibrations anormales détectées,Roulements usés sur l'axe principal,Remplacement des roulements et équilibrage,286,-10,1,High,Resolved
39,2024-09-22 22:20:01.240844,L3,M3-1,Qualité d'impression dégradée,Viscosité d'encre non conforme,Ajustement de la viscosité et nettoyage des buses,196,-6,2,Medium,Resolved
40,2024-09-29 22:20:01.240844,L2,M2-2,Bourrage fréquent au niveau de l'alimentation,Tension d'alimentation incorrecte,Ajustement de la tension et nettoyage des rouleaux,105,-12,4,Low,Resolved
41,2024-10-06 22:20:01.240844,L3,M3-2,Vibrations anormales détectées,Roulements usés sur l'axe principal,Remplacement des roulements et équilibrage,327,-10,4,Critical,Resolved
42,2024-10-13 22:20:01.240844,L1,M1-2,Baisse soudaine de performance de 15%,Usure des courroies de transmission,Remplacement des courroies et réalignement,453,-15,1,Low,Resolved
43,2024-10-20 22:20:01.240844,L1,M1-3,Bourrage fréquent au niveau de l'alimentation,Tension d'alimentation incorrecte,Ajustement de la tension et nettoyage des rouleaux,439,-12,2,Critical,Resolved
44,2024-10-27 22:20:01.240844,L3,M3-2,Bourrage fréquent au niveau de l'alimentation,Tension d'alimentation incorrecte,Ajustement de la tension et nettoyage des rouleaux,156,-12,4,Medium,Resolved
45,2024-11-03 22:20:01.240844,L1,M1-1,Baisse soudaine de performance de 15%,Usure des courroies de transmission,Remplacement des courroies et réalignement,37,-15,3,Critical,Resolved
46,2024-11-10 22:20:01.240844,L2,M2-1,Qualité d'impression dégradée,Viscosité d'encre non conforme,Ajustement de la viscosité et nettoyage des buses,468,-6,1,High,Resolved
47,2024-11-17 22:20:01.240844,L1,M1-3,Baisse soudaine de performance de 15%,Usure des courroies de transmission,Remplacement des courroies et réalignement,56,-15,2,Low,Resolved
48,2024-11-24 22:20:01.240844,L1,M1-1,Baisse soudaine de performance de 15%,Usure des courroies de transmission,Remplacement des courroies et réalignement,79,-15,2,Critical,Resolved
49,2024-12-01 22:20:01.240844,L2,M2-4,Augmentation du taux de rebut à 7%,Dérive de la température de séchage,Recalibration du système de contrôle thermique,50,-5,4,Medium,Resolved
50,2024-12-08 22:20:01.240844,L2,M2-3,Augmentation du taux de rebut à 7%,Dérive de la température de séchage,Recalibration du système de contrôle thermique,125,-5,1,Medium,Resolved
51,2024-12-15 22:20:01.240844,L1,M1-1,Arrêts micro-répétitifs toutes les 10 minutes,Capteur de position défectueux,Remplacement du capteur et recalibration,54,-8,3,High,Resolved
